vendor_id,service_name,category,description,url,pricing
arctic_wolf_we_make_security_work,Cybersecurity for State and Local Government,security,G,https://arcticwolf.com/solutions/industries/government/,
arctic_wolf_we_make_security_work,Aurora Endpoint Security,security,r,https://arcticwolf.com/solutions/endpoint-security/,
arctic_wolf_we_make_security_work,Legal Industry Cybersecurity,security,D,https://arcticwolf.com/solutions/industries/legal/,
arctic_wolf_we_make_security_work,Managed Security Awareness,security,a,https://arcticwolf.com/solutions/managed-security-awareness/,
arctic_wolf_we_make_security_work,Security Operations Bundles,security,y,https://arcticwolf.com/solutions/bundles/,
arctic_wolf_we_make_security_work,Financial Industry Cybersecurity,security,a,https://arcticwolf.com/solutions/industries/financial-services/,
arctic_wolf_we_make_security_work,Meeting Industry Cybersecurity and Regulatory Requirements,security,S,https://arcticwolf.com/solutions/industries/,
arctic_wolf_we_make_security_work,Manufacturing Industry Cybersecurity,security,d,https://arcticwolf.com/solutions/industries/manufacturing/,
arctic_wolf_we_make_security_work,Solutions,security,C,https://arcticwolf.com/solutions/cloud-security-posture-management/,
arctic_wolf_we_make_security_work,Cloud Detection and Response,cloud,S,https://arcticwolf.com/solutions/cloud-detection-and-response/,
arctic_wolf_we_make_security_work,Arctic Wolf for Managed Service Providers,general,c,https://arcticwolf.com/partners/managed-service-providers/,
arctic_wolf_we_make_security_work,OEM Solutions,general,u,https://arcticwolf.com/partners/oem-solutions/,
arctic_wolf_we_make_security_work,Incident Response,general,I,https://arcticwolf.com/solutions/incident-response/,
arctic_wolf_we_make_security_work,Incident360 Retainer,general,I,https://arcticwolf.com/solutions/incident-response-retainer/,
arctic_wolf_we_make_security_work,Healthcare Cybersecurity,security,r,https://arcticwolf.com/solutions/industries/healthcare/,
arctic_wolf_we_make_security_work,Managed Detection and Response (MDR),general,i,https://arcticwolf.com/solutions/managed-detection-and-response/,
arctic_wolf_we_make_security_work,Cyber Jumpstart,general,c,https://arcticwolf.com/solutions/cyber-jumpstart/,
