vendor_id,industry
arctic_wolf_we_make_security_work,Automotive
arctic_wolf_we_make_security_work,Banking
arctic_wolf_we_make_security_work,Education
arctic_wolf_we_make_security_work,Energy
arctic_wolf_we_make_security_work,Financial
arctic_wolf_we_make_security_work,Government
arctic_wolf_we_make_security_work,Healthcare
arctic_wolf_we_make_security_work,Insurance
arctic_wolf_we_make_security_work,Legal
arctic_wolf_we_make_security_work,Manufacturing
arctic_wolf_we_make_security_work,Real Estate
arctic_wolf_we_make_security_work,Retail
arctic_wolf_we_make_security_work,Technology
arctic_wolf_we_make_security_work,Telecommunications
